Hour,Device_type,Sessions,Completions,Conversions
0,desktop,198070.5455,33479.72727,0.169029308
1,desktop,150002.1818,28047.54545,0.186980917
2,desktop,122294.4545,18648.09091,0.152485172
3,desktop,81642.54545,10038.09091,0.122951714
4,desktop,74141.09091,6834.818182,0.092186642
5,desktop,104624.8182,4571.272727,0.043692049
6,desktop,177145.7273,5654.909091,0.031922357
7,desktop,276867.3636,8982.181818,0.032442184
8,desktop,395231.1818,16148.72727,0.04085894
9,desktop,488353.0909,25500.09091,0.052216504
10,desktop,538262.8182,32957.81818,0.061229974
11,desktop,596117.7273,43408,0.072817831
12,desktop,606283.9091,50399.72727,0.083128921
13,desktop,614872.8182,54028,0.087868578
14,desktop,598549.7273,55476.36364,0.092684636
15,desktop,592993.6364,54386.09091,0.09171446
16,desktop,578377.2727,54552.36364,0.094319688
17,desktop,516129.8182,51994.81818,0.100739807
18,desktop,454502.8182,47462.72727,0.104427795
19,desktop,432576.4545,49831.63636,0.115197293
20,desktop,394782,52231,0.132303398
21,desktop,350304.9091,45575.54545,0.130102503
22,desktop,294520.6364,42317.18182,0.143681551
23,desktop,237034.6364,37097.81818,0.156508006
0,mobile,265262.4545,14933.45455,0.056296903
1,mobile,220185.5455,13421.27273,0.060954377
2,mobile,179015.8182,12169.36364,0.067979264
3,mobile,125824,11825.36364,0.093983371
4,mobile,110610.7273,13560.18182,0.122593732
5,mobile,132267.3636,16623.18182,0.125678636
6,mobile,177944,18491.81818,0.103919313
7,mobile,225872.1818,20050.81818,0.08877064
8,mobile,273308.9091,23021.18182,0.084231363
9,mobile,311654.4545,24328.81818,0.078063438
10,mobile,352383.6364,23567.27273,0.066879589
11,mobile,375847.1818,26210.27273,0.069736515
12,mobile,404922.7273,28118.63636,0.069441981
13,mobile,418011.8182,27145.81818,0.064940313
14,mobile,422234.8182,26190.81818,0.062029035
15,mobile,413757.0909,24741.54545,0.059797272
16,mobile,400528.0909,22692.54545,0.056656564
17,mobile,399163.9091,21636.54545,0.054204664
18,mobile,372834.7273,18618.09091,0.049936579
19,mobile,369059.8182,19915.09091,0.053961688
20,mobile,366805.4545,19254.27273,0.052491784
21,mobile,362214.1818,20507.36364,0.056616678
22,mobile,327499.1818,19474.18182,0.059463299
23,mobile,285295.3636,17258.36364,0.060492969
0,tablet,70291,4680.727273,0.066590705
1,tablet,55417.45455,3790.727273,0.068403129
2,tablet,40470.72727,2801.272727,0.069217257
3,tablet,26063.27273,2173.909091,0.083408907
4,tablet,21529.90909,1828,0.084905143
5,tablet,28746.54545,1759,0.061189961
6,tablet,45180,2476.727273,0.054819107
7,tablet,59706.72727,3314.909091,0.055519859
8,tablet,66577.72727,3381.636364,0.050792307
9,tablet,70890.81818,4783,0.067469951
10,tablet,69561.09091,5008,0.071994271
11,tablet,74529.27273,5273,0.070750724
12,tablet,78056.27273,5371.636364,0.068817485
13,tablet,81346,5980.909091,0.073524317
14,tablet,80423.81818,5151.454545,0.064053842
15,tablet,84161.54545,5535.454545,0.065771779
16,tablet,89701.90909,5430.545455,0.060539909
17,tablet,98702.18182,6085.272727,0.061652869
18,tablet,99885.63636,5616.090909,0.05622521
19,tablet,105847.6364,6829.363636,0.0645207
20,tablet,113719.2727,8006.454545,0.070405432
21,tablet,106063.6364,8291.909091,0.078178623
22,tablet,91946.72727,7164.636364,0.077921603
23,tablet,75215.09091,5343.727273,0.071045946
