Hour,Device_type,Period,Sessions
0,desktop,All days,"20,107"
1,desktop,All days,"4,791"
2,desktop,All days,"3,117"
3,desktop,All days,"2,881"
4,desktop,All days,"3,470"
5,desktop,All days,"23,049"
6,desktop,All days,"63,560"
7,desktop,All days,"99,925"
8,desktop,All days,"156,606"
9,desktop,All days,"172,100"
10,desktop,All days,"160,075"
11,desktop,All days,"168,011"
12,desktop,All days,"160,164"
13,desktop,All days,"156,106"
14,desktop,All days,"140,642"
15,desktop,All days,"136,292"
16,desktop,All days,"147,816"
17,desktop,All days,"148,051"
18,desktop,All days,"133,204"
19,desktop,All days,"125,443"
20,desktop,All days,"122,592"
21,desktop,All days,"110,598"
22,desktop,All days,"67,351"
23,desktop,All days,"30,398"
0,mobile,All days,"33,103"
1,mobile,All days,"14,111"
2,mobile,All days,"7,733"
3,mobile,All days,"6,792"
4,mobile,All days,"7,261"
5,mobile,All days,"25,753"
6,mobile,All days,"79,965"
7,mobile,All days,"125,089"
8,mobile,All days,"165,100"
9,mobile,All days,"130,677"
10,mobile,All days,"107,187"
11,mobile,All days,"104,040"
12,mobile,All days,"110,862"
13,mobile,All days,"111,331"
14,mobile,All days,"97,396"
15,mobile,All days,"99,749"
16,mobile,All days,"113,537"
17,mobile,All days,"136,586"
18,mobile,All days,"139,466"
19,mobile,All days,"134,792"
20,mobile,All days,"156,166"
21,mobile,All days,"158,605"
22,mobile,All days,"123,563"
23,mobile,All days,"65,116"
0,tablet,All days,"13,935"
1,tablet,All days,"5,381"
2,tablet,All days,"2,823"
3,tablet,All days,"2,675"
4,tablet,All days,"4,087"
5,tablet,All days,"19,639"
6,tablet,All days,"63,207"
7,tablet,All days,"86,284"
8,tablet,All days,"80,846"
9,tablet,All days,"65,882"
10,tablet,All days,"49,567"
11,tablet,All days,"46,743"
12,tablet,All days,"48,654"
13,tablet,All days,"49,506"
14,tablet,All days,"47,890"
15,tablet,All days,"51,035"
16,tablet,All days,"69,645"
17,tablet,All days,"96,986"
18,tablet,All days,"107,539"
19,tablet,All days,"101,602"
20,tablet,All days,"104,895"
21,tablet,All days,"101,776"
22,tablet,All days,"69,262"
23,tablet,All days,"30,516"
