Hour,Device_type,Period,Sessions
0,desktop,Mon - Thu,"11,023"
1,desktop,Mon - Thu,"2,557"
2,desktop,Mon - Thu,"2,058"
3,desktop,Mon - Thu,"1,528"
4,desktop,Mon - Thu,"2,323"
5,desktop,Mon - Thu,"18,551"
6,desktop,Mon - Thu,"48,772"
7,desktop,Mon - Thu,"68,704"
8,desktop,Mon - Thu,"102,483"
9,desktop,Mon - Thu,"112,979"
10,desktop,Mon - Thu,"104,718"
11,desktop,Mon - Thu,"117,035"
12,desktop,Mon - Thu,"108,540"
13,desktop,Mon - Thu,"106,511"
14,desktop,Mon - Thu,"92,135"
15,desktop,Mon - Thu,"88,754"
16,desktop,Mon - Thu,"94,928"
17,desktop,Mon - Thu,"96,045"
18,desktop,Mon - Thu,"86,343"
19,desktop,Mon - Thu,"80,111"
20,desktop,Mon - Thu,"77,201"
21,desktop,Mon - Thu,"69,116"
22,desktop,Mon - Thu,"41,422"
23,desktop,Mon - Thu,"17,492"
0,desktop,Friday,"2,852"
1,desktop,Friday,617
2,desktop,Friday,206
3,desktop,Friday,647
4,desktop,Friday,500
5,desktop,Friday,"2,675"
6,desktop,Friday,"8,614"
7,desktop,Friday,"12,847"
8,desktop,Friday,"19,815"
9,desktop,Friday,"21,285"
10,desktop,Friday,"17,580"
11,desktop,Friday,"18,168"
12,desktop,Friday,"20,226"
13,desktop,Friday,"18,609"
14,desktop,Friday,"18,844"
15,desktop,Friday,"16,816"
16,desktop,Friday,"18,286"
17,desktop,Friday,"16,728"
18,desktop,Friday,"14,258"
19,desktop,Friday,"12,847"
20,desktop,Friday,"11,024"
21,desktop,Friday,"10,966"
22,desktop,Friday,"6,967"
23,desktop,Friday,"3,939"
0,desktop,Saturday,"2,734"
1,desktop,Saturday,676
2,desktop,Saturday,500
3,desktop,Saturday,294
4,desktop,Saturday,353
5,desktop,Saturday,"1,176"
6,desktop,Saturday,"3,881"
7,desktop,Saturday,"9,907"
8,desktop,Saturday,"13,788"
9,desktop,Saturday,"15,493"
10,desktop,Saturday,"14,288"
11,desktop,Saturday,"11,465"
12,desktop,Saturday,"12,436"
13,desktop,Saturday,"11,789"
14,desktop,Saturday,"10,907"
15,desktop,Saturday,"11,054"
16,desktop,Saturday,"12,200"
17,desktop,Saturday,"13,053"
18,desktop,Saturday,"9,937"
19,desktop,Saturday,"11,465"
20,desktop,Saturday,"11,113"
21,desktop,Saturday,"9,731"
22,desktop,Saturday,"6,526"
23,desktop,Saturday,"3,763"
0,desktop,Sunday,"3,498"
1,desktop,Sunday,941
2,desktop,Sunday,353
3,desktop,Sunday,412
4,desktop,Sunday,294
5,desktop,Sunday,647
6,desktop,Sunday,"2,293"
7,desktop,Sunday,"8,467"
8,desktop,Sunday,"20,520"
9,desktop,Sunday,"22,343"
10,desktop,Sunday,"23,489"
11,desktop,Sunday,"21,343"
12,desktop,Sunday,"18,962"
13,desktop,Sunday,"19,197"
14,desktop,Sunday,"18,756"
15,desktop,Sunday,"19,668"
16,desktop,Sunday,"22,402"
17,desktop,Sunday,"22,225"
