Hour,Device_type,Period,Sessions
0,desktop,All days,"20,107"
1,desktop,All days,"4,791"
2,desktop,All days,"3,117"
3,desktop,All days,"2,881"
4,desktop,All days,"3,470"
5,desktop,All days,"23,049"
6,desktop,All days,"63,560"
7,desktop,All days,"99,925"
8,desktop,All days,"156,606"
9,desktop,All days,"172,100"
10,desktop,All days,"160,075"
11,desktop,All days,"168,011"
12,desktop,All days,"160,164"
13,desktop,All days,"156,106"
14,desktop,All days,"140,642"
15,desktop,All days,"136,292"
16,desktop,All days,"147,816"
17,desktop,All days,"148,051"
18,desktop,All days,"133,204"
19,desktop,All days,"125,443"
20,desktop,All days,"122,592"
21,desktop,All days,"110,598"
22,desktop,All days,"67,351"
23,desktop,All days,"30,398"
